objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
Campusecho027,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,New_Magazine_Holds_Contest,application/pdf,A news magazine will hold a contest with a $1000 cash prize. ,Campus Echo,,1970-12-04,yes,single-page; newspaper article,News Magazine; Contest; Prize;,"Durham, NC",46.732534,-117.003116,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",1970.12.04.2.New_Magazine_Holds_Contest,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho028,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Letter_To_The_Editor,application/pdf,The letter states how the editor in chief is impressed with jerry. They also express their disappointment in SGA.,Campus Echo,,1970-12-04,yes,single-page; newspaper article,Editor; Letter to editor; SGA; Jerry;,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.12.04.2.Letter_To_The_Editor,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho029,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Black_Journal'_Producer_Used_'For_Whites_Only'_To_Trick_'em,application/pdf,Tony Brown tricked white people in order to get his show on the air. His show was cancelled a few years back.,Campus Echo,,1970-12-04,yes,single-page; newspaper article,James Brown; White people; 5 episode series; ,"Durham, NC",46.732534,-117.003116,Daily Idahoan,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.12.04.2.'Black_Journal'_Producer_Used_'For_Whites_Only'_To_Trick_'em,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho030,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Jobs_Available_To_Students_In_Europe,application/pdf,There are new jobs available for students in a European Program. The opportunity is for students to experience european culture.,Campus Echo,,1970-12-04,yes,single-page; newspaper article,Europeans; Culture; New job; Program; ,"Durham, NC",46.732534,-117.003116,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.12.04.3.Jobs_Available_To_Students_In_Europe,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho031,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Durham_Relations_Interest_You?,application/pdf,"They want students who are interested in education, open housing, and health needs to join them. It helps pay for room and board and was created to combat discrimination.",Campus Echo,,1970-12-04,yes,single-page; newspaper article,Human Relations; Durham Council;,"Durham, NC",46.731365,-116.999089,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.12.04.3.Durham_Relations_Interest_You?,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho032,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Potpourri_Of_Photographs_Reflects_NCCU's_Homecoming_Festivities,image/jpeg,It's a collage of photos that the school took of students performing many activities.,Campus Echo,,1970-12-04,yes,single-page; photographs,Band; Reading; Students; Football,"Durham, NC",46.733843,-117.001138,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.12.04.4.Potpourri_Of_Photographs_Reflects_NCCU's_Homecoming_Festivities,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho033,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Help_House_Will_Aid_Drug_Users,application/pdf,Drug abuse has reached a new high on campus and outside of campus. The campus endorsed an idea to help break the cycle of drug use.,Campus Echo,,1970-12-04,yes,single-page; newspaper article,Drug use; SGA; Wiley Thompson; ,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.12.04.6.Help_House_Will_Aid_Drug_Users,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho034,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Render_Attends_NCTE_Meeting,application/pdf,A professor represented the university. She is planning on writing a Biographical and critical study.,Campus Echo,,1970-12-04,yes,single-page; newspaper article,Professor; NCTE Meeting; ,"Durham, NC",46.733843,-117.001138,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.12.04.3.Render_Attends_NCTE_Meeting,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho035,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,The_10th_Planet,application/pdf,Its a poem about living in sound.,Campus Echo,,1970-12-04,yes,single-page; photographs,Poem; Music; Miles Davis; Filmore; ,"Durham, NC",,,Daily Idahoan,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.12.04.6.The_10th_Planet,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho036,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Echo_Gives_Eyeview_Of_'70_Grads,application/pdf,Many students got job offers after graduation. Accounting majors were the most valuable for jobs.,Campus Echo,,1970-12-04,yes,single-page; photographs,Accounting; Jobs; Business Administration; Biology; Graduates;,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.12.04.7.Echo_Gives_Eyeview_Of_'70_Grads,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho037,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Ford_Foundation_Offers_Fellowship,application/pdf,There are 3 doctorial fellowships that are being offered. ,Campus Echo,,1970-12-04,yes,single-page; photographs,Doctorial Fellowships; POC Students; Graduate; ,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.12.04.7.Ford_Foundation_Offers_Fellowship,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho038,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Speigner_Named_To_Committee,application/pdf,Dr Theodore Spencer has been appointed to NC State Advisory Committee. He is going to assist local administrative units.,Campus Echo,,1970-12-04,yes,single-page; photographs,Dr Theodore Spencer; Public Education; Vice president; Dr Speighner; ,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.12.04.7.Speigner_Named_To_Committee,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho039,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Basketball_Eagles_Have_New_Look,application/pdf,The basketball team got a new coach. They talk about the players and their heights.,Campus Echo,,1970-12-04,yes,single-page; photographs,Basketball; Coach; Heights; ,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",1970.12.04.8.Basketball_Eagles_Have_New_Look,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho040,https://newspapers.digitalnc.org/lccn/2015236599/1968-01-31/ed-1/seq-1/,,N.C_College_Initiates_Self_Study_Program,application/pdf,They held a conference and decided to launch a self study program. It is designed to help students and institutions. It evaluates student's performances.,Campus Echo,,1968-01-31,yes,single-page; photographs,Study; Survey; Dr Floyd Bass; ,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",1968.01.31.1.N.C_College_Initiates_Self_Study_Program,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho041,https://newspapers.digitalnc.org/lccn/2015236599/1968-01-31/ed-1/seq-1/,,Governor's_Office_Offers_Internships,application/pdf,They are urging students to apply for government internship programs. A total of 50 students will be accepted into the internships.,Campus Echo,,1968-01-31,yes,single-page; photographs,Internships; Government; Governor Moore; College Students; ,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",1968.01.31.1.Governor's_Office_Offers_Internships,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho042,https://newspapers.digitalnc.org/lccn/2015236599/1968-01-31/ed-1/seq-1/,,NTE_Scheduled,application/pdf,NC college is a testing center for teacher exams. College seniors are preparing for the exams.,Campus Echo,Students,1968-01-31,yes,multiple-page; application forms,Teacher exams; NC College; Testing Center; ,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",1968.01.31.1.NTE_Scheduled,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho043,https://newspapers.digitalnc.org/lccn/2015236599/1968-01-31/ed-1/seq-1/,,Negro_History_Program_Slated,application/pdf,Dr Reddick was the chairman of the history department and he is on leave. ,Campus Echo,Sales Agents,1968-01-31,yes,single-page; order forms,History: Dr Reddick; Chairman; ,"Durham, NC",40.713569,-74.023587,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",1968.01.31.1.Negro_History_Program_Slated,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho044,https://newspapers.digitalnc.org/lccn/2015236599/1968-01-31/ed-1/seq-1/,,Recruiters_Set_NCC_Interviews,application/pdf,Representatives will interview students. ,Campus Echo,Students,1968-01-31,yes,single-page; instructions,Interviews; Representatives; ,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",1968.01.31.1.Recruiters_Set_NCC_Interviews,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho045,https://newspapers.digitalnc.org/lccn/2015236599/1968-01-31/ed-1/seq-1/,,Academic_Atmosphere_Viewed,application/pdf,They talk about how students study and what they should do to study more. They also talk about how there is a policy change made by SGA.,Campus Echo,,1968-01-31,yes,multiple-page; flyers,Studying; SGA; Policy Change; Academic Atmosphere; ,"Durham, NC",34.054709,-118.261773,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",1968.01.31.2.Academic_Atmosphere_Viewed,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho046,https://newspapers.digitalnc.org/lccn/2015236599/1968-01-31/ed-1/seq-1/,,NCCU's_Self_Direction,image/jpeg,Its a comic about students deciding which pathway to go.,Campus Echo,new members,1968-01-31,yes,multiple-page; flyers,Student; Pathway,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",1968.01.31.2.NCCU's_Self_Direction,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho047,https://newspapers.digitalnc.org/lccn/2015236599/1968-01-31/ed-1/seq-1/,,Summer_Study_In_Britain_Offered,application/pdf,There is a summer study program in britain being offered. Only a limited amount of people can go.,Campus Echo,,1968-01-31,yes,single-page; photographs,Britain; Program; Summer Study; ,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",1968.01.31.3.Summer_Study_In_Britain_Offered,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho048,https://newspapers.digitalnc.org/lccn/2015236599/1968-01-31/ed-1/seq-1/,,Movie_Rental_Policy_Change,application/pdf,Filmc inc. no longer recieve orders without a purchase order. ,Campus Echo,,1968-01-31,yes,single-page; photographs,Film Inc; Purchase Order; ,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Robinson & Friends'",1968.01.31.3.Movie_Rental_Policy_Change,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho049,https://newspapers.digitalnc.org/lccn/2015236599/1968-01-31/ed-1/seq-1/,,Player_Of_The_Month,image/jpeg,It is a photo of All-ciaa Lee Davis. He is represented as a feared player. ,Campus Echo,members,1968-01-31,yes,single-page; notices,Player of the month; All-ciaa Lee Davis; ,"Durham, NC",,,,University of Idaho Library Digital Initiatives - https://www.lib.uidaho.edu/digital/,North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",1968.01.31.6.Player_Of_The_Month,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho050,https://newspapers.digitalnc.org/lccn/2015236599/1968-01-31/ed-1/seq-1/,,Eagles_Pursue_Championship,application/pdf,They went to the CIAA tournament after 5 years. They are undefeated and remain undefeated.,Campus Echo,members,1968-01-31,yes,single-page; advertisements,CIAA Tournament; Basketball; Northfolk State; ,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",1968.01.31.6.Eagles_Pursue_Championship,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho051,https://newspapers.digitalnc.org/lccn/2015236599/1968-01-31/ed-1/seq-1/,,,application/pdf,Eagles_Triumph_Over_Winston_Salem_Rams,Campus Echo,,1968-01-31,yes,multiple-page; flyers,They defeated the Rams. They took the lead after the first half. ,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 26",,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho052,https://newspapers.digitalnc.org/lccn/2015236599/1968-01-31/ed-1/seq-1/,,,application/pdf,,Campus Echo,,,yes,single-page; flyers,,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 26",,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho053,https://newspapers.digitalnc.org/lccn/2015236599/1968-01-31/ed-1/seq-1/,,,application/pdf,,Campus Echo,,,yes,single-page; flyers,,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 26",,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho054,https://newspapers.digitalnc.org/lccn/2015236599/1968-01-31/ed-1/seq-1/,,,application/pdf,,"Psychiana, Inc.",,,yes,single-page; flyers,,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 26",,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
